contents	label
CG(컴퓨터그래픽) 프로세스 연구를 위한 백그라운드 이미지 개발	0
차수막 손상부위 감지를 위한 3차원 컴퓨터그래픽 모니터링시스템 개발	0
컴퓨터 그래픽 기반 모델을 통한 당뇨발 근골격 시스템의 생체역학적 해석 및 족저압 측정	0
『太常志』 饌品의 현대화 및 컴퓨터 그래픽을 활용한 시각화 연구	0
특수효과(Special Effects)가 적용된 국내 4년제 대학의 특수분장 교육과정 개발에 관한 연구 -컴퓨터그래픽(CG)을 중심으로-	0
초고성능 병렬 3차원 그래픽 가속 프로세서 구조 설계에 대한 연구	0
3차원 그래픽 연산 엔진 가속을 위한 CORDIC 알고리즘 기반 Geometry 하드웨어 연산 연구	0
미술교육효과를 지향한 학생용 그래픽툴 개발	0
물체 반사속성 모델링을 위한 간섭계 광학 및 컴퓨터 비전·그래픽스의 결합연구	0
건설공사의 계획을 위한 그래픽 시뮬레이션 시스템	0
접목학문과연계한모션그래픽디자인연구-영국TV모션시퀀스디자인을중심으로-	0
시각디자인 및 그래픽 이미지 프로세스 개발	0
공간이용행태와 지각패턴을 적용한 광선추적 공간시각구조분석기술의 개발과 응용	0
VR 영상제작 컨텐츠 연구를 위한 백그라운드 프로세스 개발	0
X3D 중심의 증강 혼합현실 정보교환 및 인터페이스 표준 개발	0
홀로그램을 활용한 e-러닝 콘텐츠의 정보디자인 구현 방법 연구	0
열악조건 CCTV 영상에 대한 교통류 돌발상황 자동인지 성능 향상 기술 개발	0
영상 편집 및 제작 연구를 위한 백그라운드 이미지 개발	0
3D(3차원) 영상 디자인 전문가 양성	0
대경하우징 카다로그 디자인개발 시각 카다로그	0
열악조건 CCTV 영상에 대한 교통류 돌발상황 자동인지 성능 향상 기술 개발	0
CCTV 자주차 및 시각화 솔루션 개발	0
Web기반 3D애니메이션 제작 시스템	0
외부 환경 특성에 강인한 CNN 기반 AR 시스템 개발	0
3차원 랜더링 결과물의 이미지 맵 소스 추출 기술 개발	0
S3D 및 모션 캡쳐 기반 3D 에니메이션 제작 기술 개발	0
환경 시설물 지진 피해 예측 시뮬레이터 가시화 프로그램 개발	0
3D 홀로그램이 적용된 차세대 자동차용 후방 조명장치 개발	0
고선명 컬러영상 재현을 위한 컬러라이제이션 기반의 차세대 영상처리기술개발	0
가상/증강현실 서비스 휴먼팩터 분석	0
건축설계 시뮬레이션	0
메타버스 AI융합 기반 확장형 공원 플랫폼 기술개발 및 실증	1
인공지능 및 증가상현실 기반 콘텐츠 메타버스 구축을 통한 R&D 전문인력 양성	1
메타버스 기반 스마트 전시 안내 시스템 개발	1
메타버스 자율트윈 핵심기술 연구	1
원격지 가족간 안전생활 서비스를 위한 메타버스 기반 홈가상화 기술개발	1
메타버스(MetaVerse)를 활용한 사이버모델하우스 개발	1
원격지 가족간 안전생활 서비스를 위한 메타버스 기반 홈가상화 기술개발	1
원격지 가족간 안전생활 서비스를 위한 메타버스 기반 홈가상화 기술개발	1
메타버스(metaverse)개념을 활용한 XR(eXtended Reality)기반 팬덤 문화 구축에 관한 연구	1
원격 접속자 참여형 메타버스 화상회의 및 협업 플랫폼 개발	1
메타버스 구현을 위한 데이터 저장 및 교환 표준 개발	1
실감 융합 멀티버스 게임 엔진 기술	1
실감형 디지털 엔터테인먼트 플랫폼 기술개발	1
버추얼 프로덕션 기반 콘텐츠 제작 기술 R&D 전문인력 양성	1
감성표준움직임코드 구축 및 몰입형 가상환경 기반 정서행동장애 검사/교육 시나리오 상용화	1
광역 가상환경 구축을 위한 영상 기반 모델링 기술	1
뇌기반 3D 가상환경 멀미 경감 솔루션 개발	1
X3D 기반 가상환경 탐색항해 도구 설계 및 개발	1
광역 가상환경 구축을 위한 영상 기반 모델링 기술	1
가상환경 인터페이스용 새로운 가상걸음마스터 설계, 제어 및 걸음 재활에의 응용	1
HMD 기반 가상환경 네비게이션에 필요한 몰입형 동작 인터페이스 개발	1
가상환경 속에서의 자기 실재감이 온라인/비디오 게임 중독에 미치는 영향	1
360도 스테레오 가상환경 기반의 시각-촉각 통합 모듈 기술	1
가상환경 기반의 건설현장 안전관리 자동화 플랫폼 개발	1
동작 데이터 습득 및 개인 맞춤형 건강보조 콘텐츠 개발을 위한 가상환경 인터페이스 연구	1
가상환경 기반의 승마 시뮬레이터 개발	1
가상환경기반 의료시술 훈련을 위한 실시간 가상장기 시뮬레이션 방법	1
가상환경의 건설현장 기반 건설장비의 자율화 기능 구현	1
